stakeholder,indicator,baseline,score
Resident,Access to service,0,0.7457440628125883
Resident,Civic space,0,0.7317795315777227
Resident,Safety & security,0,0.959134274778718
Workforce,Access to service,0,0.06859201764487499
Workforce,Opportunity,0,0.028946200985934617
Workforce,Safety & security,0,0.9648427507947042
Local business owner,Finance,0,0.29871040135474713
Local business owner,Safety & security,0,0.9597625332459313
Government,Finance,0,0.2983256721935993
Government,Safety & security,0,0.6683291611661524
Developer,Profit,0,0.039557571669197975
Developer,Tax,0,0.131858572230671
Nonprofit Institution,Access to service,0,0.43699894679890927
Nonprofit Institution,Safety & security,0,0.6735762209116106
Nonprofit Institution,Innovation,0,0.1558252779391923
