,Stakeholders,Target,content,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49
0,Developer,Developer,"Budget; 
FAR",2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,Developer,Government,"Regulation; 
Tax rate",2,2.1152547576661385,3.29496701996301,2.272374855232111,3.610287102280136,3.182743229876034,3.4926911619993963,2.549966634533075,2.130146470597623,2.144257260162833,3.4665832766214937,2.9663098791338687,2.725117053040441,2.1762424223693078,2.9349509862875,2.0178521030062195,2.884763204811713,2.3208868590541942,2.38925255983897,2.5285446194173944,2.6122876028194644,2.454483694547722,2.7032221543244424,2.5471619327101425,2.291679489645556,2.039844301515266,3.063392193553102,2.1977439096444606,2.8316786152171254,2.9797854248489477,2.1721980110102748,2.1640684670144963,2.3093511699156983,2.260227532068726,2.535202335941346,2.784378912763433,2.0983647115100306,2.165364572370059,2.147184038613486,2.6278658327054396,2.2672522357611293,2.1855844871180317,2.43516093192428,2.4812806727283356,2.0113042069358995,2.446806690169575,2.3298378843233083,2.2112351722945203,2.1575160983941126,2.3326044250217817
2,Developer,Industry group,Profit,1,1.2582554924645195,1.0037490427561302,1.6788993440647486,1.0608427671647513,1.296796434378501,1.1036308449426337,1.6765935496502027,1.416676806667628,1.744310766652419,1.1205132939724003,1.0299441513096637,1.239904022499205,1.3893692652817857,1.3943167926192108,1.2338112041495197,1.260142810344607,1.1137664394518842,1.5585044000666257,1.5732852514722198,1.0208291292777145,1.5943451267642619,1.250545272402683,1.3676322800768972,1.0202044820114369,1.295229117727694,1.04468829101115,1.4551696099484033,1.2324575211338185,1.2489310497843455,1.5627003921407403,1.1088387761116971,1.0264749057273261,1.108299474627434,1.1991403981130326,1.010119841678708,1.5086490287070462,1.2916384808068169,1.1095766133949567,1.0467629783183734,1.0020226567283432,1.3614864578019867,1.1303770591167905,1.1281081036379832,1.0854443408336025,1.0074280961548217,1.0608092095743455,1.2051752226129477,1.0227437484833763,1.1450663071184706
3,Developer,Local Business Owners,Profit,1,1.6818641425474024,1.3249714152975653,1.1560360277268793,1.1035515164811824,1.0769276262219885,1.1107956027453207,1.0087060327132793,1.4731750351894544,1.136790688025965,1.0990006343481848,1.4387399480254193,1.3316754696686144,1.4398815406749328,1.0535158115161638,1.670078010601876,1.2088873189592313,1.6286497069856614,1.1409796744736256,1.0118459273065443,1.512386765872956,1.0122679850998797,1.2272246530087252,1.1723088389558678,1.625551472952497,1.4745418947467077,1.2064807318534103,1.211283833773255,1.1058443748814595,1.0129293898918648,1.09576585106126,1.4608536673339272,1.4683818434855531,1.4062523159862828,1.1224146956098213,1.1725940396361043,1.015696733643862,1.184376723486848,1.3686966382053194,1.1766165380495448,1.3570490247236449,1.0182544027847618,1.074850788331277,1.0171434139838844,1.2733671884874935,1.1261686256146162,1.1306001809870225,1.0240484866162207,1.220301120243465,1.0062898519208165
4,Developer,Nonprofit Institution,Innovation,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Developer,Residents,Profit,1,1.0022529861550087,1.0237960319647994,1.0288772005923166,1.030462165213998,1.0349043244614933,1.0392279713123473,1.0397171003699803,1.0450749228441063,1.0467699152401995,1.0471944333686678,1.0481609610979827,1.06586198131196,1.0826279828586276,1.0846919027208752,1.0871847337454945,1.0885882682903052,1.097140424035357,1.1058896455402638,1.1505965115125387,1.1606403034395973,1.1661450408619973,1.1706189974263705,1.1864779146121638,1.2084043002132883,1.2103068367679652,1.2171348803588886,1.2346746014561116,1.2458587963761594,1.248246847899316,1.2554347512928625,1.3482733230471275,1.3504676658292718,1.35533444335192,1.410843738306473,1.4250966623034709,1.4264718818940765,1.4413025095213052,1.448134729092981,1.462687567279362,1.5073022006674472,1.5274668958542357,1.5771916865897926,1.6141081460139648,1.6355363672109542,1.642999933145775,1.643671667276978,1.6651587046235714,1.6781970820761023,1.6823416284498223
6,Government,Government,Management cost,1,1.0576273788330692,1.647483509981505,1.1361874276160555,1.805143551140068,1.591371614938017,1.7463455809996982,1.2749833172665375,1.0650732352988115,1.0721286300814166,1.7332916383107468,1.4831549395669343,1.3625585265202205,1.0881212111846539,1.46747549314375,1.0089260515031098,1.4423816024058564,1.1604434295270971,1.194626279919485,1.2642723097086972,1.3061438014097322,1.227241847273861,1.3516110771622212,1.2735809663550712,1.145839744822778,1.019922150757633,1.531696096776551,1.0988719548222303,1.4158393076085627,1.4898927124244739,1.0860990055051374,1.0820342335072481,1.1546755849578492,1.130113766034363,1.267601167970673,1.3921894563817165,1.0491823557550153,1.0826822861850296,1.073592019306743,1.3139329163527198,1.1336261178805647,1.0927922435590158,1.21758046596214,1.2406403363641678,1.0056521034679498,1.2234033450847874,1.1649189421616541,1.1056175861472601,1.0787580491970563,1.1663022125108908
7,Government,Industry group,"Tax; 
Environment",2,2.631765742595178,3.3024651054752705,3.6301735433616082,3.7319726366096386,3.7763360986330365,3.699952851884664,3.9031537338334803,2.963500083932879,3.632878793467671,3.7076098645662947,3.0261981817531955,3.204925098038851,2.9549809529328797,3.7235845715259215,2.485474511305259,3.405048825500927,2.5484197379579627,3.506261359972221,3.675115122361834,2.6539458613748934,3.643173948076246,3.2043126991298085,3.2824264928639373,2.3320884536684297,2.630302536970654,3.152768775575402,3.108083129541267,3.2965936574847623,3.4776475244176384,3.297598795291755,2.3817460192378905,2.3623009813703506,2.476826481323594,2.9334831321674115,2.804618596120849,3.115662768924123,2.7486415339836934,2.3663372654033994,2.7213917893421864,2.271297549217816,2.908557402722005,2.6959150501578613,2.7374968800043016,2.1821928886031046,2.4616628824792177,2.4514563034719994,2.6215856175204157,2.2030035953608653,2.6227370392587224
8,Government,Local Business Owners,"Tax; 
Economy sustainability; 
Safety & Security",3,5.218474564141415,5.917364775837211,3.8766703660288035,5.726085202863751,5.004897723480017,5.571423551235057,3.8510680499394496,4.6147448114647975,3.626757954322145,5.496876817976795,5.765684662777061,5.082701988566504,4.58400825557876,4.562973913979741,5.037012186314957,4.953806764095264,5.367279409538276,4.006817863179331,3.8283547110457246,5.455591701848064,3.718529497121223,4.73650719051284,4.337669415932817,5.314173653325824,4.483392136513023,5.214530485889884,3.9304673657864555,4.5650510474700665,4.508466306949016,3.5455945696991913,4.628663702523526,4.869172285330206,4.609098246061938,4.170047590741484,4.6943504880534626,3.194637268196632,3.801177029015633,4.326865972536187,4.471648363206793,4.472025427812628,3.333139939031332,3.8772937628802513,3.773351251044156,3.83705787586633,4.048715912098211,3.886557369446029,3.3889982182904435,3.897177508321564,3.5177761932951217
9,Government,Nonprofit Institution,Cohension,1,1.0576273788330692,1.647483509981505,1.1361874276160555,1.805143551140068,1.591371614938017,1.7463455809996982,1.2749833172665375,1.0650732352988115,1.0721286300814166,1.7332916383107468,1.4831549395669343,1.3625585265202205,1.0881212111846539,1.46747549314375,1.0089260515031098,1.4423816024058564,1.1604434295270971,1.194626279919485,1.2642723097086972,1.3061438014097322,1.227241847273861,1.3516110771622212,1.2735809663550712,1.145839744822778,1.019922150757633,1.531696096776551,1.0988719548222303,1.4158393076085627,1.4898927124244739,1.0860990055051374,1.0820342335072481,1.1546755849578492,1.130113766034363,1.267601167970673,1.3921894563817165,1.0491823557550153,1.0826822861850296,1.073592019306743,1.3139329163527198,1.1336261178805647,1.0927922435590158,1.21758046596214,1.2406403363641678,1.0056521034679498,1.2234033450847874,1.1649189421616541,1.1056175861472601,1.0787580491970563,1.1663022125108908
